" 104,329 "
" 79,781 "
" 71,383 "
" 61,009 "
" 54,587 "
" 48,841 "
" 67,507 "
" 60,401 "
" 51,623 "
" 46,189 "
" 41,327 "
" 35,321 "
" 31,603 "
" 43,681 "
" 39,083 "
" 34,969 "
" 29,887 "
" 26,741 "
" 20,449 "
" 42,959 "
" 38,437 "
" 32,851 "
" 29,393 "
" 26,299 "
" 22,477 "
" 20,111 "
" 27,797 "
" 24,871 "
" 22,253 "
" 19,019 "
" 17,017 "
" 13,013 "
" 16,093 "
" 14,399 "
" 11,011 "
" 17,689 "
" 15,827 "
" 14,161 "
" 12,103 "
" 10,829 "
" 8,281 "
" 10,241 "
" 9,163 "
" 7,007 "
" 5,929 "
" 30,685 "
" 27,455 "
" 23,465 "
" 20,995 "
" 18,785 "
" 16,055 "
" 14,365 "
" 19,855 "
" 17,765 "
" 15,895 "
" 13,585 "
" 12,155 "
" 9,295 "
" 11,495 "
" 10,285 "
" 7,865 "
" 12,635 "
" 11,305 "
" 10,115 "
" 8,645 "
" 7,735 "
" 5,915 "
" 7,315 "
" 6,545 "
" 5,005 "
" 4,235 "
" 4,655 "
" 4,165 "
" 3,185 "
" 2,695 "
" 9,025 "
" 8,075 "
" 7,225 "
" 6,175 "
" 5,525 "
" 4,225 "
" 5,225 "
" 4,675 "
" 3,575 "
" 3,025 "
" 3,325 "
" 2,975 "
" 2,275 "
" 1,925 "
" 1,225 "
" 18,411 "
" 16,473 "
" 14,079 "
" 12,597 "
" 11,271 "
" 9,633 "
" 8,619 "
" 11,913 "
" 10,659 "
" 9,537 "
" 8,151 "
" 7,293 "
" 5,577 "
" 6,897 "
" 6,171 "
" 4,719 "
" 7,581 "
" 6,783 "
" 6,069 "
" 5,187 "
" 4,641 "
" 3,549 "
" 4,389 "
" 3,927 "
" 3,003 "
" 2,541 "
" 2,793 "
" 2,499 "
" 1,911 "
" 1,617 "
" 5,415 "
" 4,845 "
" 4,335 "
" 3,705 "
" 3,315 "
" 2,535 "
" 3,135 "
" 2,805 "
" 2,145 "
" 1,815 "
" 1,995 "
" 1,785 "
" 1,365 "
" 1,155 "
 735 
" 1,425 "
" 1,275 "
 975 
 825 
 525 
" 3,249 "
" 2,907 "
" 2,601 "
" 2,223 "
" 1,989 "
" 1,521 "
" 1,881 "
" 1,683 "
" 1,287 "
" 1,089 "
" 1,197 "
" 1,071 "
 819 
 693 
 441 
 855 
 765 
 585 
 495 
 315 
 225 
" 12,274 "
" 10,982 "
" 9,386 "
" 8,398 "
" 7,514 "
" 6,422 "
" 5,746 "
" 7,942 "
" 7,106 "
" 6,358 "
" 5,434 "
" 4,862 "
" 3,718 "
" 4,598 "
" 4,114 "
" 3,146 "
" 5,054 "
" 4,522 "
" 4,046 "
" 3,458 "
" 3,094 "
" 2,366 "
" 2,926 "
" 2,618 "
" 2,002 "
" 1,694 "
" 1,862 "
" 1,666 "
" 1,274 "
" 1,078 "
" 3,610 "
" 3,230 "
" 2,890 "
" 2,470 "
" 2,210 "
" 1,690 "
" 2,090 "
" 1,870 "
" 1,430 "
" 1,210 "
" 1,330 "
" 1,190 "
 910 
 770 
 490 
 950 
 850 
 650 
 550 
 350 
" 2,166 "
" 1,938 "
" 1,734 "
" 1,482 "
" 1,326 "
" 1,014 "
" 1,254 "
" 1,122 "
 858 
 726 
 798 
 714 
 546 
 462 
 294 
 570 
 510 
 390 
 330 
 210 
 150 
 342 
 306 
 234 
 198 
 126 
 90 
" 1,444 "
" 1,292 "
" 1,156 "
 988 
 884 
 676 
 836 
 748 
 572 
 484 
 532 
 476 
 364 
 308 
 196 
 380 
 340 
 260 
 220 
 140 
 100 
 228 
 204 
 156 
 132 
 84 
 60 
 36 
